Urdu text,Roman-Urdu text,category_id
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
فلم کا ریویو,film ka review,2
صحت کے فوائد,sehat ke fawaid,4
تعلیم کی اہمیت,taleem ki ahmiyat,3
کرکٹ کا میچ,cricket ka match,1
فلم کا ٹریلر,film ka trailer,2
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
خوشی کی خبریں,khushi ki khabrain,2
صحت کے لیے ورزش,sehat ke liye warzish,4
تعلیم کی اہمیت,taleem ki ahmiyat,3
کرکٹ کا میچ,cricket ka match,1
فلم کا ٹریلر,film ka trailer,2
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
خوشی کی خبریں,khushi ki khabrain,2
صحت کے لیے ورزش,sehat ke liye warzish,4
تعلیم کی اہمیت,taleem ki ahmiyat,3
کرکٹ کا میچ,cricket ka match,1
فلم کا ٹریلر,film ka trailer,2
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
